"authority","date","description","name","perferred_name_number","preferred_name_fuller_form","preferred_name_prefix","preferred_name_rest","preferred_name_suffix","primary_part_of_name","unique_id"
"http://viaf.org/viaf/43295863;viaf||http://id.loc.gov/authorities/names/n85306057;lcnaf",,,"Roy, Robert H.",,,,"Robert H.",,"Roy","4fe553d1-8af6-46b3-b32f-b2b5297b4367"
"http://viaf.org/viaf/54221317;viaf||http://id.loc.gov/authorities/names/n79059752;lcnaf","1855/1916",,"Royce, Josiah, 1855-1916",,,,"Josiah",,"Royce","a9f54082-eeca-4f78-a593-55e9f69d7003"
"http://viaf.org/viaf/108283788;viaf||http://id.loc.gov/authorities/names/n79058685;lcnaf","1923/2013",,"Rubin, Louis D., Jr. (Louis Decimus), 1923-2013",,"Louis Decimus",,"Louis D.","Jr.","Rubin","b8778742-c704-410c-84a1-8edcc3102e7e"
,,,"Rubino, Joe",,,,"Joe",,"Rubino","85f81c22-900a-4700-a459-70da7bc916e2"
"http://viaf.org/viaf/12383080;viaf||http://id.loc.gov/authorities/names/n50022479;lcnaf","1909/1995",,"Ruesch, Jurgen, 1909-1995",,,,"Jurgen",,"Ruesch","2834410d-2290-4906-9716-35f0558a90bd"
,,,"Russell",,,,,,"Russell","fbadd0b1-28a7-4476-b7ec-d638770519e1"
"http://viaf.org/viaf/49401907;viaf||http://id.loc.gov/authorities/names/n87809562;lcnaf","1912/1987",,"Rustin, Bayard, 1912-1987",,,,"Bayard",,"Rustin","bdf2db35-3905-411f-8cec-1b02a95848f8"
,,,"S.B.",,,,,,"S.B.","5886656c-72f9-4a8e-95aa-7fd2783b2cb8"
,,,"S.H.",,,,,,"S.H.","f508e0f3-0be0-4468-a305-844c0f75409b"
"http://viaf.org/viaf/74652573;viaf||http://id.loc.gov/authorities/names/n81042942;lcnaf","1871/1953",,"Sabin, Florence Rena, 1871-1953",,,,"Florence Rena",,"Sabin","21c8ab4f-33b0-4ede-9e28-e6e9f28dd7e8"
"http://viaf.org/viaf/280089396;viaf",,,"Sachs, Murray B.",,,,"Murray B.",,"Sachs","d6f89f0c-0e15-45d7-8bda-d9ad8782f14f"
,"1887/1937",,"Salganik, Jassa Julius, 1887-1937",,,,"Jassa Julius",,"Salganik","7752340e-8cba-4ec9-ac30-4016020d39fa"
"http://viaf.org/viaf/44304992;viaf||http://id.loc.gov/authorities/names/n79127088;lcnaf","1892/1951",,"Salinas, Pedro, 1892-1951",,,,"Pedro",,"Salinas","3254e4bd-f042-4b05-9cea-8e4c71ab92d7"
,,,"Sanders, A. Leigh",,,,"A. Leigh",,"Sanders","69e927d1-6986-48fc-8660-2504ec922643"
"http://viaf.org/viaf/315189402;viaf||http://id.loc.gov/authorities/names/no2015039717;lcnaf",,,"Santa Claus",,,"Fictitious character",,,"Santa Claus","be00037f-4750-4b99-9525-7bf5319b190a"
"http://id.loc.gov/authorities/names/n50019335;lcnaf||http://viaf.org/viaf/12466780;viaf","1856/1925",,"Sargent, John Singer, 1856-1925",,,,"John Singer",,"Sargent","37073942-2ff0-484d-b091-80f960393643"
,"1931/2015",,"Sarnoff, Arthur, 1931-2015",,,,"Arthur",,"Sarnoff","77bfd325-bc6c-4f6c-b76d-e582564bc980"
,,,"Sarnoff, Stanley J.",,,,"Stanley J.",,"Sarnoff","08e89856-6162-41cd-915c-8147391ae009"
,,"Location information: New York","Sarony",,,,,,"Sarony","092b8c6d-043d-403a-98df-f2e5147e43b5"
,,,"Sarrow, Ed",,,,"Ed",,"Sarrow","0de09cff-4624-4627-8692-15e2e9dff761"
"http://id.loc.gov/authorities/names/nr93003364;lcnaf||http://viaf.org/viaf/73723460;viaf","1830/1906",,"Sartain, Samuel, 1830-1906",,,,"Samuel",,"Sartain","02e8b8da-66a0-40af-9caa-9e3345695e00"
,,,"Sauerwein, E. M.",,,,"E. M.",,"Sauerwein","ddceeeec-f348-432f-87ef-b8508ed18bce"
"http://viaf.org/viaf/11147423060644881595;viaf||http://id.loc.gov/authorities/names/n2016047463;lcnaf",,,"Schaaf, Elizabeth M.",,,,"Elizabeth M.",,"Schaaf","29d4ba0d-1b3e-4f7e-87bd-ad0dfed7c0cc"
,,,"Schaarwaechter, J. C.",,,,"J. C.",,"Schaarwaechter","3fe7bbc1-6382-4bfc-ad3d-54f5aef2fa3e"
"http://viaf.org/viaf/33456098;viaf||http://id.loc.gov/authorities/names/n85334812;lcnaf",,,"Schad, Theodore M.",,,,"Theodore M.",,"Schad","bd085a05-1294-4714-947b-4e823e98df2d"
,,,"Schaefer",,,,,,"Schaefer","7b6b763c-b782-4c08-bea1-03105294f7d1"
"http://viaf.org/viaf/8866877;viaf||http://id.loc.gov/authorities/names/n86080378;lcnaf",,,"Schaefer, William Donald",,,,"William Donald",,"Schaefer","cad59f48-b01d-467f-8c15-95e9f6bcb876"
"http://viaf.org/viaf/288368139;viaf",,,"Schaub, Isabelle Gilbert",,,,"Isabelle Gilbert",,"Schaub","62aeed62-8061-4f1e-bc94-213282df1e15"
"http://viaf.org/viaf/66532414;viaf||http://id.loc.gov/authorities/names/n85134775;lcnaf","1921/1999",,"Schawlow, Arthur L., 1921-1999",,,,"Arthur L.",,"Schawlow","070a9697-02ec-48f6-854b-836bdce65f38"
"http://viaf.org/viaf/73029891;viaf||http://id.loc.gov/authorities/names/n91031189;lcnaf",,,"Scherman, Rowland",,,,"Rowland",,"Scherman","0c71685f-d313-4025-b9f8-5021e1d6858e"
,,"Location information: Worcester, MA","Scherver",,,,,,"Scherver","3d315706-fba0-49a5-882d-4200cb1d6c5c"
,,"Location information: Philadelphia, PA","Schick, Jules",,,,"Jules",,"Schick","1982ab0c-3404-4da9-b7ea-7caefff7c9f4"
,,,"Schindele",,,,,,"Schindele","d99c6325-a6a7-490d-89f9-b6cc4bf70c01"
"http://viaf.org/viaf/76351089;viaf||http://id.loc.gov/authorities/names/n86048026;lcnaf","1899/1954",,"Schirokauer, Arno, 1899-1954",,,,"Arno",,"Schirokauer","d7a106c1-1a82-43fa-b4f5-21cb03b81560"
"http://viaf.org/viaf/45588806;viaf||http://id.loc.gov/authorities/names/n79139334;lcnaf",,,"Schlossberg, Leon",,,,"Leon",,"Schlossberg","867a2009-d51a-4565-b0ef-b9a2e83d6a6c"
,,,"Schmid, Thomas",,,,"Thomas",,"Schmid","57362640-2ff7-4895-99e5-eec629580043"
,,,"Schmidt, Victor",,,,"Victor",,"Schmidt","1d699d68-aeff-490f-b7a5-a8a386a923cf"
"http://viaf.org/viaf/11448165;viaf||http://id.loc.gov/authorities/names/n89608570;lcnaf",,,"Schmoke, Kurt L.",,,,"Kurt L.",,"Schmoke","e0c6ca1a-56e7-4110-a162-56d8050343c2"
"http://viaf.org/viaf/14811475;viaf||http://id.loc.gov/authorities/names/n50004689;lcnaf","1882/1951",,"Schnabel, Artur, 1882-1951",,,,"Artur",,"Schnabel","347c4314-b90d-43b7-b76a-5a2196f225d9"
,,,"Schnydman, Jerome",,,,"Jerome",,"Schnydman","6d77b3a8-e110-4cc8-8046-6c2884a6e164"
"http://viaf.org/viaf/181158185769420062107;viaf||http://id.loc.gov/authorities/names/n2020007120;lcnaf",,,"Schocken, Victor",,,,"Victor",,"Schocken","5888e833-576d-468b-a51b-e173047ccff2"
"http://viaf.org/viaf/13596017;viaf||http://id.loc.gov/authorities/names/n79123972;lcnaf",,,"Schubel, J.R.",,,,"J. R.",,"Schubel","94aad80f-e45a-48d1-b527-d3aedb0cfc30"
,"1874/1951",,"Schuler, Hans, 1874-1951",,,,"Hans",,"Schuler","21310ec0-e75d-4971-b4b8-f88c86bf291a"
,,,"Schulman, N.",,,,"N.",,"Schulman","41f60466-b427-423c-b4a8-3e0bb9269b59"
,,"Associated information: The Clarion-Ledger","Schwalun, J. D.",,,,"J. D.",,"Schwalun","04f18df8-704b-4739-a3c4-61a14982c70d"
"http://viaf.org/viaf/18464512;viaf||http://id.loc.gov/authorities/names/n50004128;lcnaf",,,"Schwartz, George I.",,,,"George I.",,"Schwartz","eb368d56-f0c5-4efa-86d7-d1c58526ba59"
,,,"Schwarz",,,,,,"Schwarz","e96bc699-46f4-43fa-91c9-c462fee996aa"
"http://viaf.org/viaf/31271056;viaf||http://id.loc.gov/authorities/names/n96801074;lcnaf",,,"Schwentker, Francis F.",,,,"Francis F.",,"Schwentker","d7a47e3b-3b79-4541-b9b9-9a86bb56b6c4"
"http://viaf.org/viaf/94553287;viaf||http://id.loc.gov/authorities/names/n89142408;lcnaf","1930/",,"Scott, Bob, 1930-",,,,"Bob",,"Scott","d3a09b7d-6c97-4dca-b89a-8bc37795e82c"
,,"Location information: Washington, DC","Scott, Julian P.",,,,"Julian P.",,"Scott","6a05759a-256d-4386-9340-bcf4a278928e"
,,,"Scott, Noel",,,,"Noel",,"Scott","d51c1af2-6125-4dba-a806-1f4ca3dbb85f"
,,,"Scott, Robert",,,,"Robert",,"Scott","f212df48-4059-47cf-8189-9cdd98033734"
,,,"Scroggie, Arthur G.",,,,"Arthur G.",,"Scroggie","4cf83c66-b4b7-4982-bbbd-d4de766f9393"
,,,"Scuris, Theodore C.",,,,"Theodore C.",,"Scuris","6df7fd56-fa52-48a5-afd2-db55c211e9a9"
,,"Associated information: Private","Seamark, Gene E.",,,,"Gene E.",,"Seamark","f8d38e29-b953-4a69-991e-2ba5fbf92809"
"http://viaf.org/viaf/35642538;viaf||http://id.loc.gov/authorities/names/n81022186;lcnaf","1933/2009",,"Seeger, Mike, 1933-2009",,,,"Mike",,"Seeger","07c5ae1d-6d27-478e-9827-366d8bc4e468"
"http://id.loc.gov/authorities/names/n79043440;lcnaf||http://viaf.org/viaf/6206996;viaf","1924/",,"Seghers, Carroll, 1924-",,,,"Carroll",,"Seghers","a040a49b-f7e9-485c-a684-961d2aed0020"
,,"Associated information: Ph.D. 1903","Seidell, Atherton",,,,"Atherton",,"Seidell","eb7c33ee-4d37-4f30-961f-40da4427c4d9"
,,,"Seipt, David P.",,,,"David P.",,"Seipt","f75b56d1-aa3c-43ff-af6d-bc6397e0f53e"
"http://viaf.org/viaf/3938631;viaf||http://id.loc.gov/authorities/names/n85801602;lcnaf","1924/",,"Seliger, Howard H. (Howard Harold), 1924-",,"Howard Harold",,"Howard H.",,"Seliger","50ac475b-015f-443e-bc88-5ee5805ed6fa"
,,,"Senter, Cheryl",,,,"Cheryl",,"Senter","f0b3f58d-6169-418b-85b9-7bdef437f387"
"http://viaf.org/viaf/46802934;viaf||http://id.loc.gov/authorities/names/n50001417;lcnaf","1928/1974",,"Sexton, Anne, 1928-1974",,,,"Anne",,"Sexton","d88cb723-d914-44bb-9bcc-2e32599bcc94"
,,,"Seyler, Allison",,,,"Allison",,"Seyler","3252c2ac-98f7-4ee4-9717-bcaf2bcfb6d9"
"http://viaf.org/viaf/45244703;viaf||http://id.loc.gov/authorities/names/no2007109351;lcnaf","1901/1992",,"Shaffer, G. Wilson (George Wilson), 1901-1992",,"George Wilson",,"G. Wilson",,"Shaffer","e6920ed9-902a-4ff9-91ec-042cf37be49d"
"http://viaf.org/viaf/96994048;viaf||http://id.loc.gov/authorities/names/n78095332;lcnaf","1564/1616",,"Shakespeare, William, 1564-1616",,,,"William",,"Shakespeare","61f093f0-776c-4691-a977-b1b7629d1c1e"
"http://viaf.org/viaf/61665480;viaf||http://id.loc.gov/authorities/names/n81087967;lcnaf","1949/",,"Shapiro, H.A. (Harvey Alan), 1949-",,"Harvey Alan",,"H. A.",,"Shapiro","636e13e0-e60f-4f12-9b2a-625faff2b1b3"
"http://viaf.org/viaf/109257053;viaf||http://id.loc.gov/authorities/names/n79021704;lcnaf","1913/2000",,"Shapiro, Karl, 1913-2000",,,,"Karl",,"Shapiro","76f92b97-8658-4ad0-9289-0e4e89643abf"
,,,"Sharkey, Jeffrey",,,,"Jeffrey",,"Sharkey","af4c6e14-b634-4ea1-bf94-72a420ca7f23"
,,,"Shaw, Marvin",,,,"Marvin",,"Shaw","df9c8896-e0b0-4422-b3a3-9522b69dcdf4"
"http://viaf.org/viaf/64142799;viaf||http://id.loc.gov/authorities/names/n78095616;lcnaf","1891/1972",,"Shawn, Ted, 1891-1972",,,,"Ted",,"Shawn","8fed2a7b-575c-453d-ba03-a2746092179f"
,,"Location information: Durham, NC","Shelburn",,,,,,"Shelburn","7b5ff8d9-95d8-4a58-b32e-f91f7b03d8f4"
"http://id.loc.gov/authorities/names/n80146378;lcnaf||http://viaf.org/viaf/79477076;viaf","1930/",,"Sheppard, Joseph, 1930-",,,,"Joseph",,"Sheppard","5becf41e-b5d5-4ab8-a1fe-e70e9eecea17"
"http://viaf.org/viaf/78355673;viaf||http://id.loc.gov/authorities/names/no94021292;lcnaf",,,"Sheppard, Moses",,,,"Moses",,"Sheppard","fc662c26-4a68-4212-aa23-9fcf88588a3a"
"http://viaf.org/viaf/27559545;viaf||http://id.loc.gov/authorities/names/n90654419;lcnaf","1904/1996",,"Sherfield, Roger Mellor Makins, Baron, 1904-1996",,,"Baron","Roger Mellor Makins",,"Sherfield","b8ed23e2-9274-465d-a5f3-3b5937e580d6"
,,,"Sheridan, R. Champlin, Jr.",,,,"R. Champlin","Jr.","Sheridan","f80142f9-a001-49a8-8b23-e65a8e90bf2c"
"http://viaf.org/viaf/1617836;viaf||http://id.loc.gov/authorities/names/n89634494;lcnaf",,,"Shiber, Stella",,,,"Stella",,"Shiber","03b8a24c-7fe8-4e77-bc8a-49dfc1b6bcd4"
,,"Location information: Sapporo, Japan","Shiina, S.",,,,"S.",,"Shiina","4f0621f7-7490-4a54-a346-8a93ec19c72d"
,,,"Shindler, Fred",,,,"Fred",,"Shindler","3e9f9e50-4ebd-4876-9067-c1268a08f132"
,,,"Short, Bill",,,,"Bill",,"Short","31b0a2ee-8688-4964-978e-b89d0e398f89"
"http://viaf.org/viaf/9912028;viaf||http://id.loc.gov/authorities/names/n79133740;lcnaf","1893/1972",,"Shryock, Richard Harrison, 1893-1972",,,,"Richard Harrison",,"Shryock","cbd7fd60-eb98-4967-8ddd-4f2bfd6b7927"
,,,"Shulman",,,,,,"Shulman","db002187-22c9-4fb4-aadf-846ec42c1853"
,"1875/1898",,"Shuter, Henry Plant, 1875-1898",,,,"Henry Plant",,"Shuter","4a67f32a-6ac1-4ced-a278-dcdeada4533f"
"http://viaf.org/viaf/304578577;viaf||http://id.loc.gov/authorities/names/no2015055729;lcnaf",,,"Siddiqui, Sauleh",,,,"Sauleh",,"Siddiqui","2fec1ace-6705-4d4b-893c-3b4c13f2be07"
,,,"Sieburg, Don",,,,"Don",,"Sieburg","140ebb15-016d-4fc1-adec-309e4250f0e0"
,,,"Siegel",,,,,,"Siegel","0124b6b2-9803-47ae-a253-0006481e11ad"
"http://viaf.org/viaf/73919876;viaf||http://id.loc.gov/authorities/names/n50026114;lcnaf","1891/1957",,"Sigerist, Henry E. (Henry Ernest), 1891-1957",,"Henry Ernest",,"Henry E.",,"Sigerist","b34630ab-34be-4f54-8e79-10e2c215a672"
"http://viaf.org/viaf/9448149068599965730005;viaf||http://id.loc.gov/authorities/names/n2017182603;lcnaf",,,"Siliciano, Robert F.",,,,"Robert F.",,"Siliciano","023398cd-f28d-4615-9840-3238a574e7c2"
"http://viaf.org/viaf/291866779;viaf||http://id.loc.gov/authorities/names/n2001126622;lcnaf",,,"Silverman, Charlotte",,,,"Charlotte",,"Silverman","ed08cd55-d266-462d-8dc2-bee492d8c362"
,,"Location information: Louisville, KY","Simes",,,,,,"Simes","7b1cdcc0-4569-4992-9031-0ff85ce92f60"
"http://viaf.org/viaf/27931190;viaf||http://id.loc.gov/authorities/names/n78096064;lcnaf","1890/1954",,"Simmons, James Stevens, 1890-1954",,,,"James Stevens",,"Simmons","3d987602-ff68-47c1-b1f1-3608c71067f7"
"http://viaf.org/viaf/111008509;viaf||http://id.loc.gov/authorities/names/n50023584;lcnaf","1924/2020",,"Singer, S. Fred (Siegfried Fred), 1924-2020",,"Siegfried Fred",,"S. Fred",,"Singer","a817e2c6-2f8e-4401-a2a2-b26344fa828b"
"http://viaf.org/viaf/108959633;viaf||http://id.loc.gov/authorities/names/n50026415;lcnaf","1909/1985",,"Singleton, Charles S. (Charles Southward), 1909-1985",,"Charles Southward",,"Charles S.",,"Singleton","0f539d60-a6c8-4cd8-9f3c-8dcfd292d907"
,,,"Singleton, Elizabeth",,,,"Elizabeth",,"Singleton","5242e114-f700-41de-b339-01b6a7c3c54e"
"http://viaf.org/viaf/58022473;viaf||http://id.loc.gov/authorities/names/n84149134;lcnaf",,,"Sinton, William M.",,,,"William M.",,"Sinton","419969d3-2e0a-41b9-80e7-4c0a4a7fb371"
"http://viaf.org/viaf/29736133;viaf||http://id.loc.gov/authorities/names/n87883971;lcnaf","1954/",,"Sissa, Giulia, 1954-",,,,"Giulia",,"Sissa","1e09237c-fbd2-424d-b558-33df395c76d6"
"http://viaf.org/viaf/225450304;viaf||http://id.loc.gov/authorities/names/no2012003595;lcnaf","1882/1963",,"Sklarevski, Alexander (Alexander Fedorovich), 1882-1963",,"Alexander Fedorovich",,"Alexander",,"Sklarevski","40e69265-dbe8-4cca-a956-62986f873e26"
,,,"Slaughter, Regina",,,,"Regina",,"Slaughter","b1f25220-d40c-47a7-a761-65d6f71c23c4"
"http://viaf.org/viaf/29618350;viaf||http://id.loc.gov/authorities/names/n81085180;lcnaf",,,"Slavin, Robert E.",,,,"Robert E.",,"Slavin","c6d6b2bd-0f83-482b-a8c5-9db7cf0674cf"
"http://viaf.org/viaf/121153124310624491551;viaf",,,"Sleight, Robert B.",,,,"Robert B.",,"Sleight","7c9f2914-c53b-4726-a8e3-ea009607c0c6"
,,,"Slosson, E. E.",,,,"E. E.",,"Slosson","aacdcc1e-408d-4b0c-afec-6a4079cd944e"
"http://vocab.getty.edu/page/ulan/500010524;ulan||http://viaf.org/viaf/95745080;viaf","1873/1942",,"Smart, Edmund Hodgson, 1873-1942",,,,"Edmund Hodgson",,"Smart","30ddab0f-e10b-41fc-89c9-b1fa2a8c9548"
,,,"Smith, Fred",,,,"Fred",,"Smith","836b3bd9-bbc4-4a80-9f5b-38517e46f26e"
,,,"Smith, George W.",,,,"George W.",,"Smith","5b6a75d5-6a0e-4ca4-b14a-215088426b70"
,,,"Smith, Peter",,,,"Peter",,"Smith","859e5fa0-d52f-40de-8926-2f46f652266f"
,,"Associated information: Sports Illustrated","Smith, Stuart",,,,"Stuart",,"Smith","131e3dd9-4781-4854-9750-fbfdf2a83602"
,,"Location information: Memphis, TN","Smith, Wiley",,,,"Wiley",,"Smith","b942648a-c15a-4dcb-8984-f07ea79fe2bd"
"http://viaf.org/viaf/115935575;viaf||http://id.loc.gov/authorities/names/n83124453;lcnaf","1955/",,"Smolensky, Paul, 1955-",,,,"Paul",,"Smolensky","20fe95d4-9e44-4790-bea8-94d1e8183c53"
"http://viaf.org/viaf/70318503;viaf||http://id.loc.gov/authorities/names/n83825089;lcnaf","1896/",,"Snell, Cornelia T. (Cornelia Tyler), 1896-",,"Cornelia Tyler",,"Cornelia T.",,"Snell","6acf51b6-4290-4f67-970e-b3f2e75b1eb1"
,,,"Snyder, Bob",,,,"Bob",,"Snyder","c3693a2c-2d71-434c-b929-898905d863e8"
"http://viaf.org/viaf/108353571;viaf||http://id.loc.gov/authorities/names/n80017910;lcnaf","1938/",,"Snyder, Solomon H., 1938-",,,,"Solomon H.",,"Snyder","4a87f996-5deb-412c-8073-08460d876a62"
"http://viaf.org/viaf/88039167;viaf||http://id.loc.gov/authorities/names/n79055329;lcnaf",,,"Socrates",,,,,,"Socrates","b91c5112-7b8e-4fdf-af49-116591e0bcf4"
,,,"Solis, Rogelio V.",,,,"Rogelio V.",,"Solis","e9b5cfb7-77c5-4f1d-9399-63fc624ada5b"
"http://viaf.org/viaf/93834781;viaf||http://id.loc.gov/authorities/names/n79078146;lcnaf","1942/",,"Sommer, Alfred, 1942-",,,,"Alfred",,"Sommer","23827450-f275-4364-9314-d6dad2cfb501"
"http://viaf.org/viaf/28465197;viaf||http://id.loc.gov/authorities/names/n84027564;lcnaf","1926/2012",,"Sonnenfeldt, Helmut, 1926-2012",,,,"Helmut",,"Sonnenfeldt","bdc6f379-9e57-4a2f-ba97-358c17bcd213"
"http://id.loc.gov/authorities/names/no2008050289;lcnaf||http://viaf.org/viaf/58887052;viaf","1905/1972",,"Sopher, Aaron, 1905-1972",,,,"Aaron",,"Sopher","c42573ee-276c-48fe-89b3-4a9c3fcad36b"
,,,"Southwick, Wayne",,,,"Wayne",,"Southwick","33ac7d20-171c-4a79-815d-739e508c4db5"
,,,"Spalding, Keith",,,,"Keith",,"Spalding","09801b8c-30a1-4a47-bc12-8d0d1322b41f"
,"1919/2007",,"Sparrow, Margaret, 1919-2007",,,,"Margaret",,"Sparrow","97a2599a-50fd-4215-8e9f-96929f41dfa2"
,,"Spelling of name uncertain.","Speerbeck",,,,,,"Speerbeck","647029b1-4dc3-4ea7-bb95-b6851514571a"
,,,"Spencer, Jean",,,,"Jean",,"Spencer","4e32a081-b209-4eea-988e-1f569e9bdd0b"
,,,"Spencer, John",,,,"John",,"Spencer","6e769605-d2ee-442a-950a-0bebc33f0627"
"http://viaf.org/viaf/49242396;viaf||http://id.loc.gov/authorities/names/n80014958;lcnaf",,,"Spinelli, Altiero",,,,"Altiero",,"Spinelli","a529f4aa-7350-4724-a0c9-79b82e7e721d"
"http://viaf.org/viaf/67855083;viaf||http://id.loc.gov/authorities/names/n83825271;lcnaf",,,"Spitz, Armand",,,,"Armand",,"Spitz","8089830a-df67-4bc8-af89-511729962f46"
"http://viaf.org/viaf/71397982;viaf||http://id.loc.gov/authorities/names/n82097702;lcnaf","1887/1960",,"Spitzer, Leo, 1887-1960",,,,"Leo",,"Spitzer","80df33e0-b53b-4cc4-8087-596ddf6ebb9a"
"http://viaf.org/viaf/108516826;viaf||http://id.loc.gov/authorities/names/n81083907;lcnaf","1914/1997",,"Spitzer, Lyman, 1914-1997",,,,"Lyman",,"Spitzer","57ad4f25-2998-4da4-82b0-7d7de518303f"
"http://viaf.org/viaf/9580467;viaf||http://id.loc.gov/authorities/names/no2005070354;lcnaf",,,"Spring, David",,,,"David",,"Spring","38b19b77-d957-4d9b-9a76-8fd29ac95958"
,,,"Spurbeck, John",,,,"John",,"Spurbeck","9af93872-6a62-4894-be73-a64688cda5fa"
"http://viaf.org/viaf/50302793;viaf||http://id.loc.gov/authorities/names/n96033160;lcnaf","1865/1934",,"Squier, George Owen, 1865-1934",,,,"George Owen",,"Squier","8872e786-6fc0-4f1a-b745-e31a33ca9b8c"
"http://viaf.org/viaf/113865059;viaf||http://id.loc.gov/authorities/names/n50023874;lcnaf","1903/1993",,"Stackpole, Edouard A., 1903-1993",,,,"Edouard A.",,"Stackpole","81f59e7d-3439-40f5-b2fb-1b97b968486f"
,,,"Stacks, Richard",,,,"Richard",,"Stacks","11ef9076-39e1-4f47-9cb7-4273c2d3f1d9"
,,,"Stallings, Clyde",,,,"Clyde",,"Stallings","65b34dbd-9c6f-4686-a2a4-df357d4c0169"
"http://viaf.org/viaf/9974531;viaf||http://id.loc.gov/authorities/names/n90632222;lcnaf",,,"Stam, David H.",,,,"David H.",,"Stam","f3a66393-e540-44f9-98b4-b471cdb60c4f"
"http://viaf.org/viaf/101976591;viaf||http://id.loc.gov/authorities/names/n79060662;lcnaf",,,"Stanley, Julian C.",,,,"Julian C.",,"Stanley","d17f8f9b-16c6-49c7-830b-076db5965cf4"
"http://viaf.org/viaf/66591753;viaf||http://id.loc.gov/authorities/names/n50023272;lcnaf",,,"Stanton, Phoebe B.",,,,"Phoebe B.",,"Stanton","8cb62025-1e24-4676-9deb-6daa2fcb4c8e"
"http://viaf.org/viaf/39384431;viaf||http://id.loc.gov/authorities/names/n79061191;lcnaf",,,"Starobinski, Jean",,,,"Jean",,"Starobinski","ffc1bb55-b612-4e17-bf8c-983b51da08da"
"http://viaf.org/viaf/307435396;viaf||http://id.loc.gov/authorities/names/n2014182973;lcnaf","1901/",,"Stebbins, Ernest L. (Ernest Lyman), 1901-",,"Ernest Lyman",,"Ernest L.",,"Stebbins","21b8201d-9232-44f1-ae1b-867f861ec238"
"http://viaf.org/viaf/22149082;viaf||http://id.loc.gov/authorities/names/n79006977;lcnaf","1874/1946",,"Stein, Gertrude, 1874-1946",,,,"Gertrude",,"Stein","aae87d6a-0c5c-455a-96e4-40c8e073f056"
"http://viaf.org/viaf/55768340;viaf||http://id.loc.gov/authorities/names/n90629135;lcnaf",,,"Steinberg, Melvin A.",,,,"Melvin A.",,"Steinberg","4061f981-b281-4ada-b2fd-ecf42af97ae9"
"http://viaf.org/viaf/61235509;viaf||http://id.loc.gov/authorities/names/no2003064523;lcnaf","1906/1985",,"Steinhardt, Jacinto, 1906-1985",,,,"Jacinto",,"Steinhardt","e76cad97-45ff-4e0a-8404-bec2b636f5f9"
,,,"Steppat, Leo",,,,"Leo",,"Steppat","47f343fc-30be-4e1c-9d61-b1c11e7d421d"
"http://viaf.org/viaf/67932273;viaf||http://id.loc.gov/authorities/names/n85387074;lcnaf",,,"Stevens, Mary Betty",,,,"Mary Betty",,"Stevens","f146e290-f948-4793-ba19-74d539bdb851"
"http://viaf.org/viaf/21061172;viaf||http://id.loc.gov/authorities/names/n83169420;lcnaf",,,"Stewart, Reginald",,,,"Reginald",,"Stewart","ec48e482-1281-408d-aad7-c6717b07cfa6"
"http://viaf.org/viaf/88658831;viaf||http://id.loc.gov/authorities/names/n91037338;lcnaf","1901/1997",,"Stewart, T. D. (Thomas Dale), 1901-1997",,"Thomas Dale",,"T. D.",,"Stewart","e5237d21-cb04-47d0-ad6a-89e808932c67"
"http://viaf.org/viaf/1449831;viaf||http://id.loc.gov/authorities/names/n85186270;lcnaf",,,"Stiller, Shale D.",,,,"Shale D.",,"Stiller","48aca718-153f-4633-99aa-60c4ad2de8ae"
,,,"Stimpert, James",,,,"James",,"Stimpert","40dad478-b246-4373-9720-317ab6545b74"
,,,"Stinson, Shawn",,,,"Shawn",,"Stinson","7606d956-6b86-49bf-8446-f10db1618a52"
"http://viaf.org/viaf/90605372;viaf",,"Location information: New York","Stock, Dennis",,,,"Dennis",,"Stock","03470cc5-41d0-4c2c-a5e4-aa70697ec047"
,,,"Stockfield",,,,,,"Stockfield","2a2db022-8956-47bf-8d36-c97fe2bdfc07"
,,"Location information: 3000 Chestnut Ave, Studio 116 Baltimore, MD 21211","Stockfield, Bob",,,,"Bob",,"Stockfield","af6d3efa-7ea6-46a6-ae2f-004ef6651772"
,,"Location information: 1217 W. Lafayette Avenue Baltimore, MD","Stocksdale, John H.",,,,"John H.",,"Stocksdale","71562911-5c24-4475-aff6-cc7d7c1c89ac"
,,,"Stone, Albert M.",,,,"Albert M.",,"Stone","aea62456-3528-4f7d-b0d6-942df7c55b41"
"http://viaf.org/viaf/92666920;viaf||http://id.loc.gov/authorities/names/n80082488;lcnaf",,,"Stone, Edward Durell",,,,"Edward Durell",,"Stone","e6525bc2-8337-4dca-b3a7-daaecd672dbb"
,,"Location information: Bethesda, MD","Straub, Harold W.",,,,"Harold W.",,"Straub","77c72317-473f-48a1-92a6-f9d2adfb05b7"
"http://viaf.org/viaf/8915197;viaf||http://id.loc.gov/authorities/names/n87901915;lcnaf","1900/",,"Straus, William L. (William Louis), 1900-",,"William Louis",,"William L.",,"Straus","8ca24110-a74a-4831-8473-66bacc831134"
"http://viaf.org/viaf/93895384;viaf||http://id.loc.gov/authorities/names/n84114498;lcnaf",,,"Strauss, Lewis L.",,,,"Lewis L.",,"Strauss","11c7a320-4aae-4100-80dc-29eca303b157"
,,,"Streeter, John Williams",,,,"John Williams",,"Streeter","74a2e8bc-c217-4e64-be87-c777c33beb85"
,,,"Strieby, M. E.",,,,"M. E.",,"Strieby","aaaaa5f5-313c-46d7-b614-b0c7e59b18c0"
